ILSVRC2012_val_00000001.JPEG	sea_snake]	-1.32786	70	Indian_cobra	bubble	19.89313
ILSVRC2012_val_00000003.JPEG	Shetland_sheepdog]	4.17547	None	collie	stove	19.99964
ILSVRC2012_val_00000006.JPEG	garter_snake]	-0.37957	45	sea_snake	fountain	19.94308
ILSVRC2012_val_00000007.JPEG	porcupine]	1.93352	None	peacock	quill	20.00000
ILSVRC2012_val_00000010.JPEG	Angora]	-0.36341	3	Maltese_dog	hair_slide	19.37500
ILSVRC2012_val_00000011.JPEG	brain_coral]	1.40380	None	brain_coral	coral_reef	19.99996
ILSVRC2012_val_00000012.JPEG	cougar]	6.75522	None	cougar	bow	20.00000
ILSVRC2012_val_00000013.JPEG	guenon]	4.51387	None	guenon	broccoli	20.00000
ILSVRC2012_val_00000016.JPEG	grey_whale]	4.11086	None	grey_whale	spotlight	20.00000
ILSVRC2012_val_00000017.JPEG	sea_anemone]	-0.10126	179	sea_anemone	coral_reef	19.96603
ILSVRC2012_val_00000018.JPEG	vulture]	-0.58303	6	goldfish	balance_beam	19.19234
ILSVRC2012_val_00000021.JPEG	porcupine]	-0.00282	89	porcupine	cardoon	19.98581
ILSVRC2012_val_00000022.JPEG	Ibizan_hound]	-0.12223	44	Saluki	oxcart	19.97293
ILSVRC2012_val_00000025.JPEG	vulture]	-0.00062	880	peacock	cardoon	20.00000
ILSVRC2012_val_00000027.JPEG	white_wolf]	5.40159	None	white_wolf	buckle	20.00000
ILSVRC2012_val_00000028.JPEG	English_foxhound]	2.37137	None	Walker_hound	tennis_ball	19.99999
ILSVRC2012_val_00000029.JPEG	green_snake]	3.38051	None	green_mamba	head_cabbage	19.99176
ILSVRC2012_val_00000031.JPEG	cabbage_butterfly]	-0.01315	50	cabbage_butterfly	pot	19.87643
ILSVRC2012_val_00000033.JPEG	sea_lion]	-0.05522	39	Shih-Tzu	magnetic_compass	19.95981
ILSVRC2012_val_00000034.JPEG	ballplayer]	-0.24199	6	ballplayer	ski	19.42475
