img_fn	human_readable_label	loss_val	n_queries	top_organism_label	top_object_label	dist
ILSVRC2012_val_00000001.png	sea_snake	-0.28725	17	water_snake	bubble	19.96165
ILSVRC2012_val_00000003.png	Shetland_sheepdog	5.22349	inf	collie	streetcar	20.00000
ILSVRC2012_val_00000006.png	garter_snake	-0.09120	173	thunder_snake	hook	20.00000
ILSVRC2012_val_00000007.png	porcupine	0.24228	inf	porcupine	bubble	19.99988
ILSVRC2012_val_00000010.png	Angora	-0.82415	2	Maltese_dog	mask	19.20608
ILSVRC2012_val_00000011.png	brain_coral	3.39335	inf	brain_coral	coral_reef	19.99719
ILSVRC2012_val_00000012.png	cougar	3.78088	inf	cougar	pot	20.00000
ILSVRC2012_val_00000013.png	guenon	4.79427	inf	guenon	bottlecap	19.99750
ILSVRC2012_val_00000016.png	grey_whale	-0.42199	37	grey_whale	bubble	19.97022
ILSVRC2012_val_00000017.png	sea_anemone	-0.24042	3	goldfish	candle	19.54455
ILSVRC2012_val_00000018.png	vulture	-0.23966	29	goldfish	shower_curtain	19.77945
ILSVRC2012_val_00000021.png	porcupine	-0.04121	153	porcupine	cardoon	20.00000
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.09898	9	whippet	moped	19.81434
ILSVRC2012_val_00000025.png	vulture	1.88022	inf	vulture	croquet_ball	20.00000
ILSVRC2012_val_00000027.png	white_wolf	4.46756	inf	white_wolf	piggy_bank	20.00000
ILSVRC2012_val_00000028.png	English_foxhound	1.46440	inf	Walker_hound	tennis_ball	20.00000
ILSVRC2012_val_00000029.png	green_snake	4.29430	inf	green_mamba	strawberry	20.00000
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.59047	69	cabbage_butterfly	bubble	19.98434
ILSVRC2012_val_00000033.png	sea_lion	-0.01176	4	bullfrog	bubble	19.73284
ILSVRC2012_val_00000034.png	ballplayer	-1.22028	1	ballplayer	umbrella	18.26995
ILSVRC2012_val_00000037.png	tailed_frog	-0.14540	17	ground_beetle	projectile	19.98930
ILSVRC2012_val_00000040.png	garden_spider	-0.01381	35	garden_spider	hip	19.96169
ILSVRC2012_val_00000043.png	spoonbill	4.08052	inf	spoonbill	reel	19.99965
ILSVRC2012_val_00000044.png	standard_schnauzer	4.48093	inf	miniature_schnauzer	tennis_ball	20.00000
ILSVRC2012_val_00000045.png	Newfoundland	-0.10761	114	Bouvier_des_Flandres	feather_boa	20.00000
ILSVRC2012_val_00000048.png	English_foxhound	-0.17923	29	Chesapeake_Bay_retriever	bubble	19.99738
ILSVRC2012_val_00000050.png	sturgeon	-0.16246	46	gar	butcher_shop	19.86647
ILSVRC2012_val_00000051.png	bee_eater	0.46966	inf	goldfish	coral_reef	20.00000
ILSVRC2012_val_00000052.png	axolotl	4.67943	inf	axolotl	airship	20.00000
ILSVRC2012_val_00000055.png	polecat	-2.02595	1	polecat	bassinet	18.79208
ILSVRC2012_val_00000057.png	Pomeranian	1.54013	inf	Pomeranian	tennis_ball	19.99250
ILSVRC2012_val_00000058.png	stinkhorn	4.52180	inf	stinkhorn	mushroom	20.00000
