img_fn	human_readable_label	loss_val	n_queries	top_organism_label	top_object_label	dist
ILSVRC2012_val_00000001.png	sea_snake	-0.34577	23	water_snake	bubble	19.95130
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.62292	inf	collie	stove	20.00000
ILSVRC2012_val_00000006.png	garter_snake	-0.06740	71	thunder_snake	jigsaw_puzzle	19.99936
ILSVRC2012_val_00000007.png	porcupine	-0.07065	135	peacock	bubble	19.99179
ILSVRC2012_val_00000010.png	Angora	-0.08735	2	goldfish	bubble	19.48168
ILSVRC2012_val_00000011.png	brain_coral	3.50951	inf	brain_coral	coral_reef	20.00000
ILSVRC2012_val_00000012.png	cougar	5.41060	inf	cougar	china_cabinet	19.99907
ILSVRC2012_val_00000013.png	guenon	3.80061	inf	guenon	broccoli	20.00000
ILSVRC2012_val_00000016.png	grey_whale	-1.26847	19	grey_whale	bubble	19.91998
ILSVRC2012_val_00000017.png	sea_anemone	-0.11269	220	sea_anemone	buckeye	19.99978
ILSVRC2012_val_00000018.png	vulture	-0.43711	21	goldfish	balance_beam	19.92678
ILSVRC2012_val_00000021.png	porcupine	-0.04589	65	porcupine	cardoon	19.99831
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.08745	35	Saluki	oxcart	19.99203
ILSVRC2012_val_00000025.png	vulture	2.65697	inf	vulture	stove	19.99980
ILSVRC2012_val_00000027.png	white_wolf	6.45392	inf	white_wolf	catamaran	20.00000
ILSVRC2012_val_00000028.png	English_foxhound	3.02922	inf	Cardigan	gas_pump	20.00000
ILSVRC2012_val_00000029.png	green_snake	4.67285	inf	green_mamba	head_cabbage	20.00000
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.29001	44	cabbage_butterfly	pot	19.98979
ILSVRC2012_val_00000033.png	sea_lion	-0.14822	20	otter	bubble	19.93787
ILSVRC2012_val_00000034.png	ballplayer	-0.89168	1	ballplayer	horizontal_bar	18.11943
ILSVRC2012_val_00000037.png	tailed_frog	-0.09252	24	puffer	bubble	19.96253
ILSVRC2012_val_00000040.png	garden_spider	-0.03805	180	bee	hip	19.99956
ILSVRC2012_val_00000043.png	spoonbill	4.19446	inf	spoonbill	upright	19.99690
ILSVRC2012_val_00000044.png	standard_schnauzer	5.04333	inf	miniature_schnauzer	water_bottle	19.99500
ILSVRC2012_val_00000045.png	Newfoundland	-0.02007	136	Newfoundland	feather_boa	20.00000
ILSVRC2012_val_00000048.png	English_foxhound	-3.08642	1	golden_retriever	bubble	18.77940
ILSVRC2012_val_00000050.png	sturgeon	-0.51568	1	gar	butcher_shop	18.65858
ILSVRC2012_val_00000051.png	bee_eater	-0.02087	113	goldfish	coral_reef	20.00000
ILSVRC2012_val_00000052.png	axolotl	5.20057	inf	axolotl	toyshop	19.99998
ILSVRC2012_val_00000055.png	polecat	-0.35072	10	hamster	bubble	19.92021
ILSVRC2012_val_00000057.png	Pomeranian	4.29514	inf	Pekinese	dining_table	20.00000
ILSVRC2012_val_00000058.png	stinkhorn	1.70944	inf	bolete	mushroom	20.00000
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	3.70159	inf	curly-coated_retriever	pot	19.99831
ILSVRC2012_val_00000063.png	jellyfish	-1.35315	1	jellyfish	bubble	17.97354
ILSVRC2012_val_00000064.png	green_lizard	-0.10667	146	green_lizard	bubble	19.99992
ILSVRC2012_val_00000066.png	eel	1.11691	inf	electric_ray	coral_reef	20.00000
ILSVRC2012_val_00000067.png	tusker	5.22031	inf	tusker	plow	20.00000
ILSVRC2012_val_00000072.png	dugong	0.16647	inf	dugong	piggy_bank	19.99935
ILSVRC2012_val_00000073.png	kite	-0.21641	9	sulphur-crested_cockatoo	balance_beam	19.91819
ILSVRC2012_val_00000075.png	black_grouse	4.77125	inf	black_grouse	head_cabbage	20.00000
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	2.51682	inf	Great_Dane	muzzle	20.00000
ILSVRC2012_val_00000078.png	African_hunting_dog	2.46543	inf	African_hunting_dog	cliff	20.00000
ILSVRC2012_val_00000079.png	otterhound	-0.18441	152	otterhound	bubble	19.99302
ILSVRC2012_val_00000082.png	Afghan_hound	1.78770	inf	Afghan_hound	feather_boa	20.00000
ILSVRC2012_val_00000084.png	water_snake	-0.00459	73	damselfly	spider_web	19.99953
ILSVRC2012_val_00000087.png	siamang	-0.32986	3	axolotl	bubble	18.85384
ILSVRC2012_val_00000088.png	spotted_salamander	-0.25674	23	spiny_lobster	bow	19.91734
ILSVRC2012_val_00000090.png	American_alligator	2.83100	inf	African_chameleon	balance_beam	20.00000
ILSVRC2012_val_00000091.png	white_wolf	4.22770	inf	Samoyed	dogsled	20.00000
ILSVRC2012_val_00000092.png	Madagascar_cat	3.81054	inf	indri	oxygen_mask	19.99920
ILSVRC2012_val_00000093.png	gorilla	-0.04626	65	Arabian_camel	muzzle	19.99980
ILSVRC2012_val_00000095.png	macaque	4.51972	inf	macaque	teddy	20.00000
ILSVRC2012_val_00000097.png	wood_rabbit	4.66215	inf	wood_rabbit	mousetrap	20.00000
ILSVRC2012_val_00000098.png	dowitcher	0.41434	inf	snail	acorn	19.99825
ILSVRC2012_val_00000100.png	bighorn	-0.00637	64	bighorn	maze	19.97003
